OPTIMAL_RESULT: 0.888
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
CONGESTION_DATA: Rate=0.3
ACO: Broadcasting Forward Ant to find 10.1.0.60
CONGESTION_DATA: Rate=0.3
PATH_TRACE | PktUID: 367 | SRC: 10.1.0.2 -> HOP: 10.1.0.41 | DST: 10.1.0.59
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.52 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.3 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.10 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.59 | Final DST: 10.1.0.59
PATH_TRACE | PktUID: 367 | *** DESTINATION REACHED: 10.1.0.59 ***
PATH_TRACE | PktUID: 367 | SRC: 10.1.0.59 -> HOP: 10.1.0.10 | DST: 10.1.0.2
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.10 -> HOP: 10.1.0.3 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.3 -> HOP: 10.1.0.52 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.52 -> HOP: 10.1.0.41 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 367 | FWD Node: 10.1.0.41 -> HOP: 10.1.0.2 | Final DST: 10.1.0.2
PATH_TRACE | PktUID: 367 | *** DESTINATION REACHED: 10.1.0.2 ***
CONGESTION_DATA: Rate=0.3
ACO DYNAMIC EVAPORATION | rho=0.35625 | old=0.270277 | new=0.173991
ACO DYNAMIC EVAPORATION | rho=0.35625 | old=0.675 | new=0.434531
ACO DYNAMIC EVAPORATION | rho=0.35625 | old=0.270277 | new=0.173991
ACO DYNAMIC EVAPORATION | rho=0.35625 | old=0.675 | new=0.434531
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.520859 | new=0.416688
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.520859 | new=0.416688
ACO DYNAMIC EVAPORATION | rho=0.2 | old=33.9191 | new=27.1353
ACO DYNAMIC EVAPORATION | rho=0.223438 | old=0.7375 | new=0.572715
ACO DYNAMIC EVAPORATION | rho=0.223438 | old=0.7375 | new=0.572715
ACO DYNAMIC EVAPORATION | rho=0.223438 | old=1 | new=0.776563
ACO DYNAMIC EVAPORATION | rho=0.223438 | old=0.7375 | new=0.572715
ACO DYNAMIC EVAPORATION | rho=0.223438 | old=62.5418 | new=48.5676
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.4096 | new=0.32768
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.512 | new=0.4096
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.4096 | new=0.32768
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1.07132 | new=0.857057
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.4096 | new=0.32768
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1.07131 | new=0.857051
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.64 | new=0.512
ACO DYNAMIC EVAPORATION | rho=0.2 | old=1 | new=0.8
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.512 | new=0.4096
ACO DYNAMIC EVAPORATION | rho=0.2 | old=0.8 | new=0.64
